controller,scenario,reward_config,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,overall_score,terminated_rate,ph_mean,vfa_max_mean
Constant,nominal,safety_first,0.42646195123506303,5.551115123125783e-17,1490.5392335169063,0.0,0.16116707189996526,0.7873774871954925,0.0,7.241616234289419,0.17847270154292877
PID_tuned,nominal,safety_first,-0.17727778796084817,0.0,1674.6500565571266,2.2737367544323206e-13,0.6189649183744356,0.6416910942174112,0.0,7.266370904242547,0.20183474382010633
Cascaded_PID,nominal,safety_first,-0.7438193454568798,0.0,1765.3886768671775,0.0,1.051406738450851,0.5116058156299671,0.0,7.279377950869178,0.238104881239592
Constant,high_load,safety_first,-1.1075496140701375,0.0,1898.0110742103047,2.2737367544323206e-13,1.3518582841264328,0.5340709536206353,0.0,7.29149531049372,0.2666741520135267
PID_tuned,high_load,safety_first,-1.8717920202669878,0.0,2142.206815694034,0.0,1.648141715873567,0.5846917254948976,0.0,7.31222298115581,0.46619438328506363
Cascaded_PID,high_load,safety_first,-0.8409727950728858,0.0,1838.13009519872,0.0,1.1323376172282043,0.5345413389353921,0.0,7.290986890588115,0.26429225036299403
Constant,shock_load,safety_first,0.4327390349006287,5.551115123125783e-17,1495.1588869856503,0.0,0.15838832928100036,0.7894058203600272,0.0,7.242295600328566,0.1780645411640791
PID_tuned,shock_load,safety_first,-0.20260789278861732,2.7755575615628914e-17,1680.0848951846558,2.2737367544323206e-13,0.6370267453977075,0.6355537957023708,0.0,7.267038084015406,0.20166203895819906
Cascaded_PID,shock_load,safety_first,-0.7469764007303773,0.0,1764.875855054619,0.0,1.0552275095519277,0.5108853380528913,0.0,7.279101988774423,0.238104881239592
Constant,low_load,safety_first,0.4504706476622015,0.0,1050.3045731311388,0.0,0.0,0.7624807869712251,0.0,7.167562830844117,0.1435309018038279
PID_tuned,low_load,safety_first,0.4504671920996418,5.551115123125783e-17,1050.56152324915,0.0,0.0,0.7560366385189763,0.0,7.178177657168705,0.1331950613626902
Cascaded_PID,low_load,safety_first,0.5837097452801342,0.0,1320.1400957461308,0.0,0.0,0.8187096563177041,0.0,7.220488154091678,0.15560654478436292
Constant,temperature_drop,safety_first,0.4264405789019544,0.0,1490.4928372898987,0.0,0.16116707189996526,0.7873666534279532,0.0,7.241580002208986,0.17850621354431986
PID_tuned,temperature_drop,safety_first,-0.17218345025101664,0.0,1674.6552681607577,0.0,0.6154914901007295,0.6430797214672734,0.0,7.266361876840561,0.2017942519814675
Cascaded_PID,temperature_drop,safety_first,-0.7419933803046181,0.0,1765.644258378879,2.2737367544323206e-13,1.0503647099687392,0.5116534263658212,0.0,7.2793900809020355,0.238104881239592
ConstantThermal,temperature_drop,safety_first,0.4227963371747288,5.551115123125783e-17,1490.598458124934,0.0,0.16359847169155958,0.7864173515583781,0.0,7.241705984005901,0.17841408136162615
ThermalPID,temperature_drop,safety_first,0.4253875863944983,0.0,1490.4955161626833,0.0,0.1618617575547065,0.7870891152756894,0.0,7.2415942563526885,0.17850134052090325
FullPID,temperature_drop,safety_first,-0.17273826605387096,0.0,1674.648463247023,0.0,0.6158388329281,0.6429397408756339,0.0,7.266368187243171,0.20179396428567306
Constant,cold_winter,safety_first,-0.18607475853966254,0.0,1219.6940126446013,0.0,0.35826359832635984,-9.371473532894921,1.0,7.148065183711566,0.8029559402859097
PID_tuned,cold_winter,safety_first,-0.26369362824261455,0.0,1251.7067569079213,0.0,0.34619140625,-9.378731626727728,1.0,7.154717272671194,0.8006412123311921
Cascaded_PID,cold_winter,safety_first,-0.2392644617864479,0.0,1152.1348149397834,0.0,0.29970472440944884,-9.390420974382758,1.0,7.14014029348469,0.8023466241048391
ConstantThermal,cold_winter,safety_first,-0.1416667054441281,0.0,1223.767503164444,0.0,0.331945889698231,-9.359502270755957,1.0,7.150092446646323,0.80042053116654
ThermalPID,cold_winter,safety_first,-0.12301007196911758,0.0,1226.1458196192652,0.0,0.3118224057821373,-9.350344708040614,1.0,7.151071402404914,0.8022501983556177
FullPID,cold_winter,safety_first,-0.27982857991515997,0.0,1260.8472676212361,0.0,0.3455672068636797,-9.374489298664754,1.0,7.156986252499704,0.8000127084611934
Constant,recovery_test,safety_first,0.26272895017745085,0.0,1406.694850827535,0.0,0.24179260031266284,0.7301711887640652,0.0,7.253265049128421,0.1680146904743066
PID_tuned,recovery_test,safety_first,-0.2940211719679757,0.0,1580.8981332089631,0.0,0.6618030224075039,0.597937412204968,0.0,7.270958946499979,0.1997245741558761
Cascaded_PID,recovery_test,safety_first,-0.6502576638924088,0.0,1686.4356856731451,0.0,0.9536216779572694,0.507535222451478,0.0,7.277318456348854,0.238104881239592
