obs_mode,train_scenario,test_scenario,algo,reward_config,curriculum,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95
full,nominal,cold_winter,sac,safety_first,False,123,-0.27379731171689964,5.851389114294502e-17,592.2887948609412,0.0,0.3865254384441744,5.851389114294502e-17,0.46968665682690186,0.0,7.078260939655704,0.29231594518941784,0.38652543844417436,0.38652543844417436,0.4696866568269019,-0.4696866568269019
full,nominal,nominal,sac,safety_first,False,456,0.6573269593681473,1.1702778228589004e-16,1642.9785490921272,2.396728981215028e-13,0.03264455634658796,7.314236392868128e-18,0.8963373050406354,0.0,7.246968166713961,0.167804496639631,0.03264455634658795,0.03264455634658795,0.8963373050406354,-0.8963373050406354
full,nominal,high_load,sac,safety_first,False,456,0.11065299936567305,0.0,1781.8856259957206,2.396728981215028e-13,0.4433061295363778,0.0,0.7651037451899516,0.0,7.256401527201791,0.18150996379785506,0.4433061295363778,0.4433061295363778,0.7651037451899516,-0.7651037451899516
full,nominal,low_load,sac,safety_first,False,456,0.567560046136528,1.1702778228589004e-16,1286.324406156309,0.0,0.0,0.0,0.8032289796966005,0.0,7.214653755731655,0.16823938564619118,0.0,0.0,0.8032289796966005,-0.8032289796966005
full,nominal,shock_load,sac,safety_first,False,456,0.6579478083561624,0.0,1644.9536511190504,2.396728981215028e-13,0.03264455634658796,7.314236392868128e-18,0.8969478153446111,0.0,7.24679334397656,0.16777421325419256,0.03264455634658795,0.03264455634658795,0.8969478153446113,-0.8969478153446113
full,nominal,temperature_drop,sac,safety_first,False,456,0.657302397102919,0.0,1642.7039312380123,0.0,0.03264455634658796,7.314236392868128e-18,0.8962227527958258,0.0,7.24725225452322,0.16803325112000828,0.03264455634658795,0.03264455634658795,0.8962227527958256,-0.8962227527958256
full,nominal,cold_winter,sac,safety_first,False,456,-0.4604887582123559,0.0,1299.2277021662917,0.0,0.6138218440701511,0.0,0.5550172634576026,0.0,7.226724033002879,0.34020859097788836,0.6138218440701511,0.6138218440701511,0.5550172634576026,-0.5550172634576026
full,high_load,nominal,sac,safety_first,False,42,0.43617338452636956,0.0,1096.5187904203535,2.396728981215028e-13,0.0,0.0,0.7569617322784447,0.0,7.141656646702694,0.17561556768169218,0.0,0.0,0.7569617322784447,-0.7569617322784447
full,high_load,high_load,sac,safety_first,False,42,0.7408235348897662,0.0,1742.7080559838982,2.396728981215028e-13,0.0,0.0,0.9093253536909428,0.0,7.212025894625922,0.19146098282178942,0.0,0.0,0.9093253536909428,-0.9093253536909428
full,high_load,low_load,sac,safety_first,False,42,0.16742894382039603,2.925694557147251e-17,421.92861978959337,5.99182245303757e-14,0.0,0.0,0.582614276969074,0.0,7.100939631954434,0.13318532650103768,0.0,0.0,0.582614276969074,-0.582614276969074
