obs_mode,train_scenario,test_scenario,algo,reward_config,seed,reward_mean,reward_std,ch4_avg,ch4_std,violation_rate,violation_rate_std,overall_score,terminated_rate,ph_mean,vfa_max_mean,vfa_cvar95,vfa_worst_episode,score_worst,score_cvar95,curriculum
full,high_load,nominal,sac,safety_first,123,0.1660213978,0.0,493.1572667144,0.0,0.0420284821,0.0,0.6138548506,0.0,7.2467284371,0.133164537,0.0420284821,0.0420284821,0.6138548506,-0.6138548506,False
full,high_load,high_load,sac,safety_first,123,0.1614019081,0.0,716.4002467271,0.0,0.1174018757,0.0,0.633025545,0.0,7.267353141,0.133173038,0.1174018757,0.1174018757,0.633025545,-0.633025545,False
full,high_load,shock_load,sac,safety_first,123,0.1669669634,0.0,495.1212518454,0.0,0.0420284821,0.0,0.6144094018,0.0,7.2468725225,0.133164537,0.0420284821,0.0420284821,0.6144094018,-0.6144094018,False
full,high_load,low_load,sac,safety_first,123,0.0751546789,1.387778781e-17,305.3583161245,0.0,0.0448072247,6.938893904e-18,0.5575893218,0.0,7.2313169849,0.1331560355,0.0448072247,0.0448072247,0.5575893218,-0.5575893218,False
full,high_load,temperature_drop,sac,safety_first,123,0.1659964781,0.0,493.1076143787,0.0,0.0420284821,0.0,0.6138407016,0.0,7.2466778318,0.133164537,0.0420284821,0.0420284821,0.6138407016,-0.6138407016,False
full,high_load,cold_winter,sac,safety_first,123,0.1870361585,0.0,447.7839693152,0.0,0.0135463703,0.0,0.6102177224,0.0,7.1935899416,0.133164405,0.0135463703,0.0135463703,0.6102177224,-0.6102177224,False
full,high_load,recovery_test,sac,safety_first,123,0.1235672449,1.387778781e-17,469.7528675981,0.0,0.0630536738,1.387778781e-17,0.5850447173,0.0,7.260952094,0.133164537,0.0630536738,0.0630536738,0.5850447173,-0.5850447173,False
full,high_load,nominal,sac,safety_first,456,-3.5383851218,4.440892099e-16,2974.554064812,0.0,1.6613407433,2.220446049e-16,0.7520534404,0.0,7.2554331143,0.7650806959,1.6613407433,1.6613407433,0.7520534404,-0.7520534404,False
full,high_load,high_load,sac,safety_first,456,-3.2899149419,0.0,3240.114671413,0.0,0.9172413793,1.110223025e-16,-9.1565114343,1.0,7.1896409116,0.803658586,0.9172413793,0.9172413793,-9.1565114343,9.1565114343,False
full,high_load,shock_load,sac,safety_first,456,-3.6009442395,0.0,2982.488011384,0.0,1.6818339701,0.0,0.7538818842,0.0,7.2559347468,0.7655181696,1.6818339701,1.6818339701,0.7538818842,-0.7538818842,False
full,high_load,low_load,sac,safety_first,456,-0.2447419271,2.775557562e-17,2165.0292044947,0.0,0.6939909691,1.110223025e-16,0.7094317293,0.0,7.1773941353,0.3271814989,0.6939909691,0.6939909691,0.7094317293,-0.7094317293,False
full,high_load,temperature_drop,sac,safety_first,456,-3.5335302448,0.0,2974.7555600469,0.0,1.659951372,0.0,0.7520886448,0.0,7.2554725644,0.7634294935,1.659951372,1.659951372,0.7520886448,-0.7520886448,False
full,high_load,cold_winter,sac,safety_first,456,-3.2809528273,0.0,3028.0276324445,0.0,0.9543010753,1.110223025e-16,-9.2008565403,1.0,7.1879960042,0.8027429934,0.9543010753,0.9543010753,-9.2008565403,9.2008565403,False
full,high_load,recovery_test,sac,safety_first,456,-3.1219700248,4.440892099e-16,2800.1447279632,0.0,1.4992183429,2.220446049e-16,0.7098131255,0.0,7.255842974,0.7577997379,1.4992183429,1.4992183429,0.7098131255,-0.7098131255,False
full,shock_load,nominal,sac,safety_first,42,0.5893305027,0.0,1697.9071472594,0.0,0.1128864189,2.775557562e-17,0.8483412882,0.0,7.2324092804,0.2120926381,0.1128864189,0.1128864189,0.8483412882,-0.8483412882,False
full,shock_load,high_load,sac,safety_first,42,-1.5328084205,0.0,2158.13383627,0.0,1.5751997221,0.0,0.5865032641,0.0,7.2856142921,0.3356976139,1.5751997221,1.5751997221,0.5865032641,-0.5865032641,False
full,shock_load,shock_load,sac,safety_first,42,0.5895471411,0.0,1703.1835092922,0.0,0.1135811046,0.0,0.8491318834,0.0,7.2331603578,0.2115480962,0.1135811046,0.1135811046,0.8491318834,-0.8491318834,False
full,shock_load,low_load,sac,safety_first,42,0.4984045547,0.0,1193.9101741924,0.0,0.0,0.0,0.7915964644,0.0,7.1500761749,0.1737143652,0.0,0.0,0.7915964644,-0.7915964644,False
full,shock_load,temperature_drop,sac,safety_first,42,0.5892973856,0.0,1697.8495882944,0.0,0.1128864189,2.775557562e-17,0.8483278117,0.0,7.2323702527,0.2121426424,0.1128864189,0.1128864189,0.8483278117,-0.8483278117,False
full,shock_load,cold_winter,sac,safety_first,42,-1.3933954079,2.220446049e-16,1373.0950420011,0.0,0.8413754853,1.110223025e-16,-9.534837555,1.0,7.1258098474,0.8019530959,0.8413754853,0.8413754853,-9.534837555,9.534837555,False
