day,T_L,T_a,F_K,q_ch4,VFA,pH,tau_a,scenario
0.0,35.0,35.0,1.0,1600.9261212814579,0.13323437876782915,7.263156402179756,7,cold_winter
0.01041667,34.992910352100864,34.999994727309456,0.9999989962330619,1599.6730214619977,0.13322889728103973,7.263205688926117,7,cold_winter
0.02083334,34.985820846409354,34.999978920350145,0.9999959909868819,1598.794672272302,0.13322270693293636,7.2632506307102975,7,cold_winter
0.031250009999999995,34.97873407055221,34.99995259691701,0.9999909955233187,1598.353733568847,0.13323163614219433,7.263289443231415,7,cold_winter
0.04166668,34.97165050733406,34.99991577703423,0.9999840216182312,1598.1958568754424,0.13325852701589452,7.263321334550357,7,cold_winter
0.05208335,34.96457095994248,34.999868481675776,0.999975082009648,1598.258371365803,0.13330194909144308,7.263345914375109,7,cold_winter
0.06250001999999999,34.95749608706865,34.99981073287847,0.9999641900561911,1598.5153823363423,0.13336119856025347,7.263362415104048,7,cold_winter
0.07291668999999999,34.95042659674101,34.99974255366129,0.9999513599108282,1598.9674594739874,0.13343673557108854,7.263369820099451,7,cold_winter
0.08333336,34.9433632748287,34.999663968118114,0.9999366066481461,1599.6256444331739,0.13352988517652165,7.263367041679807,7,cold_winter
0.09375003,34.93630697544398,34.99957500152527,0.9999199463419807,1600.5035866380742,0.1336426839812597,7.263353044496984,7,cold_winter
0.1041667,34.92925860863244,34.999475680432056,0.99990139611824,1601.609135321146,0.13377770646793988,7.263326931064885,7,cold_winter
0.11458336999999999,34.92221912992716,34.99936603273494,0.9998809741918769,1602.965349269222,0.1339378102062813,7.263288142813572,7,cold_winter
0.12500003999999998,34.91518952810486,34.99924608773438,0.9998586998794675,1604.5618599299514,0.13412570360455361,7.263236359779009,7,cold_winter
0.13541671,34.90817080799377,34.99911587617021,0.9998345935726394,1606.4018044024174,0.13434331593864332,7.263171743868811,7,cold_winter
0.14583337999999998,34.901163961943666,34.99897543022303,0.9998086766381099,1608.4747226629438,0.13459144032061032,7.26309481694495,7,cold_winter
0.15625005,34.894169934934666,34.99882478346876,0.9997809712438672,1610.7651787603686,0.13486932175502392,7.263006453486761,7,cold_winter
0.16666672,34.887189597340296,34.998663970786026,0.9997515001624984,1613.2410196783137,0.13517390755545988,7.2629079766697,7,cold_winter
0.17708338999999998,34.880223684301086,34.99849302820007,0.999720286373027,1615.8665384676178,0.13550142399658194,7.262800802889859,7,cold_winter
0.18750006,34.873272778073556,34.9983119926639,0.9996873527806238,1618.6137476509728,0.13584867450421162,7.262686184434919,7,cold_winter
0.19791672999999999,34.866337354556265,34.99812090186168,0.9996527222480749,1621.459434357943,0.13621250151518124,7.26256535405049,7,cold_winter
0.2083334,34.85941780150216,34.99791979406376,0.9996164175476965,1624.3746202414807,0.13658887565257935,7.262439748125918,7,cold_winter
0.21875007,34.85251438376889,34.99770870797079,0.9995784610369162,1627.326299317338,0.13697330535159957,7.2623109242105715,7,cold_winter
0.22916673999999998,34.84562721836585,34.99748768251078,0.9995388743397264,1630.2811188984945,0.1373616197881718,7.262180437391475,7,cold_winter
0.23958341,34.83875628005359,34.99725675662205,0.9994976781844204,1633.2089490357225,0.13775076229780164,7.262049755901494,7,cold_winter
0.25000007999999996,34.83190142134498,34.99701596905493,0.9994548923478805,1636.0891831300407,0.1381393416926706,7.261920137860135,7,cold_winter
0.26041675,34.825062413116825,34.996765358219136,0.9994105357752036,1638.9064060235225,0.13852700935265208,7.261792726218827,7,cold_winter
0.27083342,34.81823897033149,34.996504962083065,0.9993646266588786,1641.6488347276832,0.13891311147678292,7.261668716260798,7,cold_winter
0.28125009,34.811430750538875,34.99623481809283,0.9993171823584494,1644.291937261913,0.13929332904536226,7.261550024005894,7,cold_winter
0.29166675999999997,34.80463727935427,34.99595496303749,0.9992682187607884,1646.7611850053522,0.1396567653648149,7.261440174170175,7,cold_winter
0.30208343,34.797857741809935,34.99566543270504,0.999217748466837,1648.9547551194828,0.13998896635839805,7.261343592988438,7,cold_winter
0.3125001,34.791090852223135,34.99536626127559,0.9991657793008557,1650.7657494321395,0.14027515799905207,7.261265079308891,7,cold_winter
0.32291676999999996,34.78433485322182,34.99505748061813,0.9991123137128533,1652.0897492144743,0.14050179823446501,7.261210063171194,7,cold_winter
0.33333344,34.777587518367966,34.994739119591486,0.9990573482173215,1652.81567544599,0.14065851091234338,7.261184390164919,7,cold_winter
0.34375011,34.77084617758521,34.994411203367235,0.9990008730449882,1652.862881589774,0.14074117366630268,7.261193156475284,7,cold_winter
0.35416677999999996,34.76410785300811,34.994073752870236,0.9989428728510152,1652.1848831575187,0.14075288481223053,7.2612397333179075,7,cold_winter
0.36458345,34.7573694550407,34.99372678447065,0.9988833281989863,1650.7849036365903,0.14070136718896675,7.261325272202888,7,cold_winter
0.37500012,34.750627933828355,34.99337030994059,0.998822216908371,1648.6777619686866,0.1405973069545503,7.261447960009608,7,cold_winter
0.38541678999999995,34.743880377821824,34.99300433659528,0.9987595151015722,1645.9391424455891,0.14045308118642455,7.261603981494245,7,cold_winter
0.39583345999999997,34.737124269655226,34.99262886769617,0.998695200000319,1642.6896594619952,0.14028154022405165,7.261787987175433,7,cold_winter
0.40625013,34.730357700895524,34.992243903203814,0.9986292526743309,1639.0896509623194,0.14009625567374562,7.261993437664343,7,cold_winter
0.4166668,34.72357956080714,34.99184944082805,0.9985616608322114,1635.3393688323904,0.13991171011503314,7.262212994103128,7,cold_winter
0.42708346999999997,34.71678964810036,34.991445477300545,0.9984924210503039,1631.6492783473077,0.13974257962163963,7.262438493537055,7,cold_winter
0.43750014,34.70998867430876,34.9910320097332,0.9984215399528144,1628.2324910112984,0.13960335976517216,7.262661254142087,7,cold_winter
0.44791681,34.70317821544347,34.99060903694033,0.9983490348019795,1625.2934987123149,0.13950758011264675,7.262872680279775,7,cold_winter
0.45833347999999996,34.69636064116355,34.99017656067133,0.9982749337490595,1623.0059093457241,0.13946630428692877,7.263064879455626,7,cold_winter
0.46875015,34.689538962439656,34.98973458667706,0.9981992749980231,1621.500736722445,0.13948719676587035,7.26323116340395,7,cold_winter
0.47916682,34.68271660897932,34.98928312549509,0.9981221048746518,1620.8590453659026,0.13957466829069773,7.263366160975347,7,cold_winter
0.48958348999999995,34.67589721513269,34.98882219290704,0.9980434756596318,1621.1198736965657,0.13973099727885163,7.263465644938355,7,cold_winter
0.5000001599999999,34.66908447002692,34.98835181012214,0.9979634439112094,1622.292559711421,0.13995751946356436,7.263526432613457,7,cold_winter
0.5104168299999999,34.66228204426068,34.98787200379445,0.9978820695514974,1624.3678598045612,0.1402547874461027,7.263546321244776,7,cold_winter
0.5208335,34.655493548232414,34.987382805955804,0.9977994152567996,1627.3220592981188,0.14062218320924258,7.263524044697851,7,cold_winter
0.53125017,34.6487224902159,34.986884253887354,0.9977155457781635,1631.1150375930863,0.1410571293702301,7.263459157865978,7,cold_winter
0.54166684,34.64197222203717,34.98637638992108,0.9976305270262572,1635.692163420589,0.14155464095858736,7.26335198062667,7,cold_winter
0.55208351,34.635245859245515,34.98585926114089,0.9975444247179013,1640.9815406870418,0.14210799892130765,7.263203725472476,7,cold_winter
0.56250018,34.62854620338169,34.9853329189653,0.9974573029360855,1646.8976615618092,0.1427094417750031,7.263016535204573,7,cold_winter
0.5729168499999999,34.62187567613762,34.984797418624225,0.997369222752267,1653.341560617898,0.14335088646498007,7.262793372718146,7,cold_winter
0.5833335199999999,34.615236269282605,34.98425281854958,0.9972802409916826,1660.2170353734734,0.14402465861545818,7.262537843825017,7,cold_winter
0.59375019,34.60862953454085,34.983699179722066,0.9971904095329626,1667.3913492813697,0.14472367885544726,7.262253779205145,7,cold_winter
0.60416686,34.6020566023891,34.98313656502654,0.9970997750432122,1674.7883404040442,0.14544133525975678,7.261945421126525,7,cold_winter
0.61458353,34.59551821047677,34.982565038643145,0.9970083788994047,1682.3043555388867,0.14617072703104816,7.261617085447265,7,cold_winter
0.6250002,34.5890147238141,34.98198466547768,0.9969162570319097,1689.841108766374,0.1469038375449553,7.261273321083054,7,cold_winter
0.6354168699999999,34.58254612251454,34.981395510597736,0.9968234392914027,1697.2986094492267,0.14763099077749725,7.260918981511617,7,cold_winter
0.6458335399999999,34.57611198652279,34.98079763865019,0.9967299487612666,1704.577011459733,0.1483406987728463,7.260559269663158,7,cold_winter
0.65625021,34.56971148084756,34.98019111325556,0.9966358010687139,1711.5721028525832,0.1490196200083679,7.260199855641894,7,cold_winter
0.66666688,34.563343340585675,34.97957599638136,0.9965410036838637,1718.1754190293582,0.14965295190114888,7.259846862407701,7,cold_winter
0.67708355,34.557005848901724,34.97895234768839,0.9964455550916012,1724.2777176410518,0.15022587827780792,7.259506367491489,7,cold_winter
0.68750022,34.55069683599845,34.97832022385933,0.9963494443025134,1729.7776764283687,0.1507248217294594,7.259184112750058,7,cold_winter
0.69791689,34.544413706453554,34.977679677947606,0.996252650862008,1734.5858588233016,0.1511386258335169,7.258885358883879,7,cold_winter
0.7083335599999999,34.538153489347906,34.977030758785304,0.9961551453020936,1738.6334897633371,0.1514599568670442,7.258614522013078,7,cold_winter
0.7187502299999999,34.531912941217,34.97637351050497,0.9960568905994325,1741.8781181006225,0.15168610825069234,7.258374784083407,7,cold_winter
0.7291669,34.52568869160234,34.97570797224773,0.9959578445332682,1744.3125547888742,0.15181857463985193,7.258168042987135,7,cold_winter
0.73958357,34.51947738049046,34.97503417808446,0.9958579620837927,1745.9536587859438,0.1518614716852695,7.257995092837855,7,cold_winter
0.75000024,34.51327574516631,34.97435215710567,0.9957571970754436,1746.8313579027893,0.1518200418407376,7.257855936707855,7,cold_winter
0.76041691,34.507080653756645,34.97366193360085,0.9956555029363481,1746.9875478828478,0.15170017499104005,7.25774998967449,7,cold_winter
0.7708335799999999,34.50088913822884,34.97296352728557,0.9955528334847101,1746.468230975346,0.15150852620795774,7.257675925128681,7,cold_winter
0.7812502499999999,34.49469843539441,34.972256953582075,0.9954491439038712,1745.328869337252,0.15125161430993345,7.257631678756064,7,cold_winter
0.7916669199999999,34.48850601932719,34.97154222395602,0.9953443915993219,1743.6317821085138,0.1509344209824401,7.257614977218355,7,cold_winter
0.80208359,34.482309553441155,34.97081934624231,0.995238535530934,1741.3879207968755,0.15055998630890405,7.257623817465413,7,cold_winter
0.81250026,34.47610681760125,34.970088324878816,0.995131534990167,1738.6525803251072,0.15012955678689102,7.2576570530205515,7,cold_winter
0.82291693,34.46989564720201,34.969349161039645,0.9950233485199219,1735.4244873162504,0.1496436749588591,7.257713668815925,7,cold_winter
0.8333336,34.46367389795847,34.9686018526948,0.9949139332714569,1731.7112499651982,0.14910311293489104,7.257792723870065,7,cold_winter
0.8437502699999999,34.45743946864775,34.967846394660285,0.9948032454910078,1727.5227972610626,0.14850877891502973,7.257893294018633,7,cold_winter
0.8541669399999999,34.45119031605765,34.96708277867839,0.9946912408734876,1722.8702162891605,0.14786171954031951,7.258014548468724,7,cold_winter
0.86458361,34.44492445761057,34.966310993510206,0.9945778746780001,1717.766424725841,0.1471633574385905,7.258155897948618,7,cold_winter
0.87500028,34.438639985315376,34.96553102504038,0.9944631020824372,1712.2263732916533,0.14641533517523428,7.258316834024226,7,cold_winter
0.88541695,34.43233507730116,34.96474285640073,0.9943468785033079,1706.2651431938239,0.14561898592387615,7.258496722134033,7,cold_winter
0.89583362,34.42600798784014,34.96394646809608,0.994229159469298,1699.8978978372302,0.1447754869718105,7.258694752056732,7,cold_winter
0.9062502899999999,34.419657033770704,34.96314183811114,0.9941099004035908,1693.1457826532674,0.14388713847502776,7.258909717378027,7,cold_winter
0.9166669599999999,34.41328062095846,34.962328942024556,0.9939890572615971,1686.0452148867548,0.1429585940937768,7.259139718441304,7,cold_winter
0.9270836299999999,34.40687732486015,34.96150775320268,0.9938665883940342,1678.6477956154781,0.14199639227654673,7.259382321111898,7,cold_winter
0.9375003,34.400445960377624,34.96067824310728,0.9937424562749703,1671.0119080805282,0.14100836017200488,7.259634667570017,7,cold_winter
0.94791697,34.39398560826629,34.95984038167495,0.993616628344284,1663.2030312301965,0.14000322235964324,7.259893593549108,7,cold_winter
0.95833364,34.3874956392433,34.95899413773287,0.9934890778337404,1655.2914040615442,0.13899006059159724,7.260155799598398,7,cold_winter
0.9687503099999999,34.380975721747745,34.958139479438614,0.9933597842518804,1647.345811273216,0.1379776861553655,7.260418060144137,7,cold_winter
0.9791669799999999,34.37442580817145,34.957276374714695,0.9932287333834616,1639.4298995406696,0.13697432887485575,7.260677373918433,7,cold_winter
0.9895836499999999,34.36784611152257,34.95640479165445,0.9930959170501975,1631.6027453285446,0.135987790307622,7.2609310215823095,7,cold_winter
1.0000003199999998,34.36123709108233,34.95552469889856,0.9929613330556952,1623.9217375337867,0.13502545397139004,7.2611764849356355,7,cold_winter
1.01041699,34.35459945052946,34.954636065999125,0.9928249854107333,1616.4385982999702,0.13409342570914873,7.261411524516548,7,cold_winter
1.0208336599999999,34.34793411227821,34.95373886376427,0.9926868839862769,1609.1946260076988,0.13319558850597799,7.261634279220339,7,cold_winter
1.03125033,34.34124216083757,34.95283306454127,0.9925470433826639,1602.2165693578945,0.13233266450718037,7.261843304261143,7,cold_winter
1.041667,34.33452476860754,34.95191864240235,0.9924054812948917,1595.5072796334443,0.1315016943806756,7.262037787419879,7,cold_winter
1.05208367,34.32778308709567,34.95099557319327,0.9922622159253162,1589.054483856599,0.1306976352950823,7.262217358047998,7,cold_winter
1.06250034,34.32101817760247,34.950063834445984,0.9921172642363069,1582.837105020311,0.1299150597135505,7.262381925806924,7,cold_winter
1.0729170099999998,34.3142309935036,34.949123405225805,0.9919706414087989,1576.8334218441087,0.12914979703253737,7.262531466787127,7,cold_winter
1.08333368,34.30742239178909,34.94817426597456,0.991822361019469,1571.0302211918236,0.12839975515481006,7.262665846151027,7,cold_winter
1.0937503499999999,34.30059317785026,34.94721639839639,0.9916724360846144,1565.4270741140087,0.1276637612703019,7.262785118977259,7,cold_winter
1.10416702,34.293744111005594,34.946249785385305,0.991520879147844,1559.9713990655885,0.12694057000298456,7.262889503269413,7,cold_winter
1.11458369,34.28687586641439,34.94527441092828,0.9913677012369099,1554.6746779665325,0.12622910954123245,7.262979766968716,7,cold_winter
1.12500036,34.27998901675403,34.94429025996425,0.9912129112893546,1549.5054480971944,0.1255293736555326,7.263056530232478,7,cold_winter
1.13541703,34.27308405755457,34.94329731824746,0.9910565167122857,1544.4502441186994,0.12484277201369468,7.263120338005867,7,cold_winter
1.1458336999999998,34.26616145238444,34.94229557226407,0.9908985245073744,1539.5039646171008,0.12417213337356973,7.2631715991467924,7,cold_winter
1.15625037,34.25922166946441,34.94128500921039,0.9907389422247538,1534.6710922520829,0.12352181717068385,7.263210554072159,7,cold_winter
1.1666670399999999,34.25226522204332,34.94026561702873,0.9905777790684244,1529.9674877071773,0.12289736879422344,7.26323726697083,7,cold_winter
1.17708371,34.24529271410205,34.93923738450695,0.990415047202218,1525.4115035696025,0.12230416196756475,7.263251852084067,7,cold_winter
1.18750038,34.23830484683333,34.93820030142007,0.990250762030433,1521.02202503262,0.12174641786132183,7.263254613086469,7,cold_winter
1.19791705,34.23130239297535,34.937154358655334,0.9900849415891395,1516.8103412822375,0.12122687717991051,7.263246007042412,7,cold_winter
1.20833372,34.224286169688014,34.93609954829827,0.9899176058616632,1512.7835644676536,0.12074705550996322,7.263226597223975,7,cold_winter
1.2187503899999999,34.21725701748505,34.93503586368064,0.9897487762292978,1508.9479671930278,0.12030801020252896,7.263196923035344,7,cold_winter
1.22916706,34.210215799352,34.933963299411516,0.9895784754712206,1505.311661661115,0.1199108752877382,7.263157444237602,7,cold_winter
