controller,survival_days,terminated,vfa_max,ch4_mean
Constant,19.90625,True,0.8029559402859097,1219.6940126446013
CascadedPID,21.15625,True,0.8023466241048391,1152.1348149397836
FullPID,21.84375,True,0.8000127084611934,1260.8472676212361
PID,22.6875,True,0.8013136571503653,1334.7094583523055
MPC,29.979166666666664,False,0.18095277987909372,881.9911145131141
