day,VFA,pH,q_ch4,T_L,T_a,F_K,controller,terminated,survival_days
0.0,0.133234369655727,7.263157532590902,1600.8849309618643,34.99275911470602,34.999998742982825,0.9999989517561977,Constant,True,19.90625
0.010416666666666666,0.13322880936628317,7.263207809572384,1599.6052896740264,34.985518433984396,34.99999497268021,0.9999958086053317,Constant,True,19.90625
0.020833333333333332,0.1332224700807454,7.263253700881841,1598.7120429871566,34.9782805429175,34.999988690483235,0.9999905751709993,Constant,True,19.90625
0.03125,0.13323118890024993,7.263293441263069,1598.261078921751,34.971045921803125,34.999979898308254,0.9999832566402436,Constant,True,19.90625
0.041666666666666664,0.13325781827373262,7.263326245130876,1598.0950358491425,34.96381537152615,34.99996859829889,0.9999738592255544,Constant,True,19.90625
0.05208333333333333,0.1333009378154727,7.2633517235238045,1598.149946197346,34.95658954869083,34.99995479285269,0.9999623898192562,Constant,True,19.90625
0.0625,0.1333598529759057,7.2633691080772245,1598.3993710779607,34.94936915944231,34.999938484602524,0.9999488561749468,Constant,True,19.90625
0.07291666666666666,0.1334350322510244,7.263377380558899,1598.843665012599,34.9421549879566,34.99991967643871,0.9999332670420342,Constant,True,19.90625
0.08333333333333333,0.13352780814662224,7.263375451408804,1599.493797325085,34.9349478868275,34.99989837153453,0.9999156322498852,Constant,True,19.90625
0.09375,0.133640223857846,7.263362283369923,1600.363409320163,34.92774876473902,34.99987457336749,0.9998959627668421,Constant,True,19.90625
0.10416666666666666,0.13377485965038846,7.263336985509219,1601.462507565857,34.92055857600275,34.999848285737244,0.9998742707431899,Constant,True,19.90625
0.11458333333333333,0.1339345782420633,7.2632989741956075,1602.808214793901,34.91337830825364,34.999819512779254,0.9998505695290484,Constant,True,19.90625
0.125,0.13412209232384112,7.263247946958927,1604.3951724847873,34.906208965415146,34.99978825897318,0.9998248736527529,Constant,True,19.90625
0.13541666666666666,0.1343393352485111,7.263184061380279,1606.2258053744672,34.89905153892647,34.99975452914413,0.9997971987221843,Constant,True,19.90625
0.14583333333333331,0.1345871038732743,7.263107836134818,1608.2892688150669,34.891906972968115,34.99971832845216,0.9997675612506467,Constant,True,19.90625
0.15625,0.13486464681155333,7.26302014395438,1610.5701139526857,34.884776137211816,34.999679662370795,0.999735978457944,Constant,True,19.90625
0.16666666666666666,0.1351689150789826,7.26292230641835,1613.036209165275,34.87765976619147,34.999638536651446,0.9997024678626095,Constant,True,19.90625
0.17708333333333331,0.1354961384093582,7.262815738429696,1615.6518685459887,34.870558441644675,34.99959495727245,0.9996670469938516,Constant,True,19.90625
0.1875,0.1358431232348458,7.2627016909073125,1618.389122251662,34.863472639017516,34.99954893039336,0.9996297334241021,Constant,True,19.90625
0.19791666666666666,0.13620671478780347,7.262581395294123,1621.2247724642446,34.85640274566771,34.99950046232152,0.999590544719472,Constant,True,19.90625
0.20833333333333331,0.13658288653244516,7.262456286701612,1624.129854968814,34.84934902611951,34.999449559475465,0.9995494981041912,Constant,True,19.90625
0.21875,0.13696714965879447,7.262327921456576,1627.0713777827261,34.842311597113394,34.999396228338185,0.9995066101294923,Constant,True,19.90625
0.22916666666666666,0.1373553358136247,7.262197853503521,1630.0160011662133,34.83529043319925,34.99934047540603,0.9994618965026839,Constant,True,19.90625
0.23958333333333331,0.13774439031504968,7.262067550038587,1632.9336061989163,34.82828538672959,34.999282307142835,0.9994153720257537,Constant,True,19.90625
0.25,0.13813292336148505,7.261938268251274,1635.8035946149816,34.821296228455935,34.999221729944,0.9993670507153681,Constant,True,19.90625
0.26041666666666663,0.138520587390916,7.261811150214049,1638.6105577888259,34.81432267324243,34.999158750113054,0.9993169458814897,Constant,True,19.90625
0.2708333333333333,0.138906729850257,7.261687390283949,1641.3427194451801,34.807364378569275,34.999093373842356,0.9992650700408442,Constant,True,19.90625
0.28125,0.13928703445334598,7.261568903271489,1643.9755609026147,34.800420870045514,34.99902560718186,0.9992114342492612,Constant,True,19.90625
0.29166666666666663,0.13965060956405131,7.261459212324329,1646.434580969227,34.79349133285871,34.998955455958594,0.999156046211872,Constant,True,19.90625
0.3020833333333333,0.1399830070131359,7.261362742038782,1648.6179956339179,34.78657448169645,34.99888292563452,0.9990989087194498,Constant,True,19.90625
0.3125,0.1402694584391806,7.261284289680592,1650.418954140795,34.77966855978423,34.99880802114217,0.9990400190063761,Constant,True,19.90625
0.32291666666666663,0.14049642691258235,7.261229285321091,1651.7334876745604,34.77277134153405,34.99873074672121,0.9989793681435079,Constant,True,19.90625
0.3333333333333333,0.1406535401797298,7.261203568430152,1652.44934596976,34.765880157981144,34.998651105758995,0.9989169406500167,Constant,True,19.90625
